,Unnamed: 0,osn,candidate,party,evm_votes,postal_votes,total_votes,percentage_votes,contituencty
122,Bettiah,Sikta,BIRENDRA PRASAD GUPTA,Communist Party of India  (Marxist-Leninist)  (Liberation),48730,345,49075,28.85,Sikta
123,Sikta,Raxaul,SANDEEP PATEL,Jan Adhikar Party,1393,0,1393,0.82,Sikta
124,Raxaul,Sugauli,GHAUSUL AZAM,Independent,2458,Narkatiaganj,2461,1.45,Sikta
125,Sugauli,Narkatia,DILIP VARMA,Independent,46650,Hajipur,46773,27.5,Sikta
126,Narkatia,Harsidhi (S.C),RAMJEE PRASAD,Independent,1745,Valmikinagar,1746,1.03,Sikta
127,Harsidhi (S.C),Govindganj,WASI AHMAD,Independent,2682,Bagaha,2686,1.58,Sikta
128,Govindganj,Kesaria,VINAY KUMAR YADAV,Independent,4151,Sikta,4160,2.45,Sikta
129,Kesaria,Kalyanpur,HARDEV RAM,Independent,2588,0,2588,1.52,Sikta
130,Kalyanpur,Pipra,NOTA,None of the Above,2021,Valmikinagar,2022,1.19,Sikta
131,0,Valmikinagar,Dr. Ajay Kumar Singh,Bahujan Samaj Party,12193,Sonbarsha,12267,6.91,Raxaul
132,Valmikinagar,Ramnagar,Pramod Kumar Sinha,Bharatiya Janata Party,80794,Fatuha,80979,45.6,Raxaul
133,Ramnagar,Narkatiaganj,Rambabu Prashad Yadav,Indian National Congress,43700,356,44056,24.81,Raxaul
134,Narkatiaganj,Bagaha,Umang Kumar Gupta,Jai Maha Bharath Party,941,Valmikinagar,942,0.53,Raxaul
135,Bagaha,Lauriya,Kundan Kumar,The Plurals Party,687,Chanpatia,694,0.39,Raxaul
136,Lauriya,Nautan,Devendra Kumar Singh,Rashtra Sewa Dal,478,Valmikinagar,479,0.27,Raxaul
137,Nautan,Chanpatia,Bablu Kumar,Janata Congress,384,0,384,0.22,Raxaul
138,Chanpatia,Bettiah,Haider Ali,Janta Dal Rashtravadi,563,Ramnagar,565,0.32,Raxaul
139,Bettiah,Sikta,Arbind Prasad Sah,Independent,2193,Bagaha,2197,1.24,Raxaul
140,Sikta,Raxaul,Bhulan Kumar,Independent,444,Narkatiaganj,447,0.25,Raxaul
141,Raxaul,Sugauli,Madan Prasad,Independent,957,Narkatiaganj,960,0.54,Raxaul
142,Sugauli,Narkatia,Mustaque Ali,Independent,2236,0,2236,1.26,Raxaul
143,Narkatia,Harsidhi (S.C),Suresh Kumar,Independent,28523,Alamnagar,28593,16.1,Raxaul
144,Harsidhi (S.C),Govindganj,NOTA,None of the Above,2783,Valmikinagar,2784,1.57,Raxaul
145,0,Valmikinagar,Vijay Prasad Gupta,Lok Jan Shakti Party,14117,Bihariganj,14188,8.32,Sugauli
146,Valmikinagar,Ramnagar,Er. Shashi Bhushan Singh,Rashtriya Janata Dal,64757,510,65267,38.26,Sugauli
147,Ramnagar,Narkatiaganj,Sant Singh Kushwaha,Rashtriya Lok Samta Party,6677,Khajauli,6710,3.93,Sugauli
148,Narkatiaganj,Bagaha,Asha Devi,Hindu Samaj Party,1178,Narkatiaganj,1181,0.69,Sugauli
149,Bagaha,Lauriya,Zulfiquar Aftab,Janta Dal Rashtravadi,1550,0,1550,0.91,Sugauli
150,Lauriya,Nautan,Mahmad Sohail Sahil,Jan Adhikar Party (Loktantrik),904,Harsidhi (S.C),917,0.54,Sugauli
151,Nautan,Chanpatia,Ramchandra Sahni,Vikassheel Insaan Party,61712,Raghunathpur,61820,36.24,Sugauli
152,Chanpatia,Bettiah,Vinod Kumar Mahto,Jago Hindustan Party,2497,Ramnagar,2499,1.46,Sugauli
153,Bettiah,Sikta,Shekh Alauddin,"Jan Sangharsh Dal,",1973,0,1973,1.16,Sugauli
154,Sikta,Raxaul,Sadre Alam,All India Minorities Front,3430,Valmikinagar,3431,2.01,Sugauli
155,Raxaul,Sugauli,Akhilesh Kumar Mishra,Independent,2388,Lauriya,2393,1.4,Sugauli
156,Sugauli,Narkatia,Anita Devi,Independent,1079,0,1079,0.63,Sugauli
157,Narkatia,Harsidhi (S.C),Amrit Raj,Independent,1850,Bagaha,1854,1.09,Sugauli
158,Harsidhi (S.C),Govindganj,Vishnu Prasad Gupta,Independent,1558,0,1558,0.91,Sugauli
159,Govindganj,Kesaria,Shekh Manjar Hussain,Independent,1970,0,1970,1.15,Sugauli
160,Kesaria,Kalyanpur,NOTA,None of the Above,2191,Ramnagar,2193,1.29,Sugauli
161,0,Valmikinagar,SHAMIM AHMAD,Rashtriya Janata Dal,84970,592,85562,46.69,Narkatia
162,Valmikinagar,Ramnagar,SHYAM BIHARI PRASAD,Janata Dal (United),57593,Mokama,57771,31.53,Narkatia
163,Ramnagar,Narkatiaganj,SONU KUMAR,Lok Jan Shakti Party,20446,Forbesganj,20494,11.18,Narkatia
164,Narkatiaganj,Bagaha,ASHARFI PANDIT,Proutist Sarva Samaj,878,0,878,0.48,Narkatia
165,Bagaha,Lauriya,OM PRAKASH GUPTA,Janta Dal Rashtravadi,986,Ramnagar,988,0.54,Narkatia
166,Lauriya,Nautan,RAVI SHANKAR RAVI,Jan Adhikar Party (Loktantrik),609,Valmikinagar,610,0.33,Narkatia
167,Nautan,Chanpatia,RAJ KISHOR KUMAR,Lok Shakti Party (Loktantrik),397,Valmikinagar,398,0.22,Narkatia
168,Chanpatia,Bettiah,UMASHANKAR PRASAD,Independent,299,0,299,0.16,Narkatia
169,Bettiah,Sikta,MANISH KUMAR,Independent,388,0,388,0.21,Narkatia
170,Sikta,Raxaul,MOHAMMAD TAIYAB,Independent,966,Ramnagar,968,0.53,Narkatia
171,Raxaul,Sugauli,VIDYANAND PRASAD,Independent,1704,Ramnagar,1706,0.93,Narkatia
172,Sugauli,Narkatia,SANJAY KUMAR,Independent,2100,Bagaha,2104,1.15,Narkatia
173,Narkatia,Harsidhi (S.C),SURESH PRASAD YADAV,Independent,6135,Govindganj,6149,3.36,Narkatia
174,Harsidhi (S.C),Govindganj,NOTA,None of the Above,4935,Valmikinagar,4936,2.69,Narkatia
175,0,Valmikinagar,Kumar Nagendra Bihari,Rashtriya Janata Dal,68360,570,68930,40.5,Harsidhi (S.C)
176,Valmikinagar,Ramnagar,Krishnanandan Paswan,Bharatiya Janata Party,84431,Patna Sahib,84615,49.71,Harsidhi (S.C)
177,Ramnagar,Narkatiaganj,Ramesh Kumar,Rashtriya Lok Samta Party,10478,Chhatapur,10523,6.18,Harsidhi (S.C)
178,Narkatiaganj,Bagaha,Sunil Kumar,Nationalist Congress Party,533,0,533,0.31,Harsidhi (S.C)
179,Bagaha,Lauriya,Satya Prakash,Peoples Party of India (Democratic),375,0,375,0.22,Harsidhi (S.C)
180,Lauriya,Nautan,Jagdish Ram,Independent,615,Ramnagar,617,0.36,Harsidhi (S.C)
181,Nautan,Chanpatia,Dinesh Kumar Chaudhary,Independent,1674,0,1674,0.98,Harsidhi (S.C)
182,Chanpatia,Bettiah,NOTA,None of the Above,2931,Chanpatia,2938,1.73,Harsidhi (S.C)
183,0,Valmikinagar,BRAJESH KUMAR,Indian National Congress,37620,0,37620,24.81,Govindganj
184,Valmikinagar,Ramnagar,RAJU TIWARI,Lok Jan Shakti Party,31300,0,31300,20.64,Govindganj
185,Ramnagar,Narkatiaganj,VISWANATH PRASAD,Bahujan Samaj Party,3250,0,3250,2.14,Govindganj
186,Narkatiaganj,Bagaha,SUNIL MANI TIWARI,Bharatiya Janata Party,65544,0,65544,43.22,Govindganj
187,Bagaha,Lauriya,PAPPU GIRI,Yuva Krantikari Party,1616,0,1616,1.07,Govindganj
188,Lauriya,Nautan,MANORANJAN KUMAR MISHRA,The Plurals Party,481,0,481,0.32,Govindganj
189,Nautan,Chanpatia,ASHOK SINGH,Independent,518,0,518,0.34,Govindganj
190,Chanpatia,Bettiah,YUVRAJ PANDEY,Independent,1404,0,1404,0.93,Govindganj
191,Bettiah,Sikta,RANJAY RAI,Independent,1990,0,1990,1.31,Govindganj
192,Sikta,Raxaul,VIPIN KANT TIWARI,Independent,1626,0,1626,1.07,Govindganj
193,Raxaul,Sugauli,SARVESH KUMAR TIWARI,Independent,3301,0,3301,2.18,Govindganj
194,Sugauli,Narkatia,NOTA,None of the Above,3002,0,3002,1.98,Govindganj
195,0,Valmikinagar,Abhay Kumar Singh,Bahujan Samaj Party,2121,Raxaul,2131,1.41,Kesaria
196,Valmikinagar,Ramnagar,Maheshwar Singh,Rashtriya Lok Samta Party,18495,Alinagar,18576,12.28,Kesaria
197,Ramnagar,Narkatiaganj,Ram Sharn Prasad Yadav,Lok Jan Shakti Party,18839,Balrampur,18904,12.5,Kesaria
198,Narkatiaganj,Bagaha,Shalini Mishra,Janata Dal (United),40093,Mahua,40219,26.59,Kesaria
199,Bagaha,Lauriya,Santosh Kushwha,Rashtriya Janata Dal,30741,251,30992,20.49,Kesaria
200,Lauriya,Nautan,Azharuddin Khan,"Jan Sangharsh Dal,",907,Valmikinagar,908,0.6,Kesaria
201,Nautan,Chanpatia,Anu Vivek,The Plurals Party,616,Narkatiaganj,619,0.41,Kesaria
202,Chanpatia,Bettiah,Ambesh Kumar Yadav,Rashtriya Janwadi Party (Socialist),599,Valmikinagar,600,0.4,Kesaria
203,Bettiah,Sikta,Krishna Kumar Jaiswal,Rashtra Sewa Dal,580,Valmikinagar,581,0.38,Kesaria
204,Sikta,Raxaul,Brajesh Mishra,Hindu Samaj Party,721,0,721,0.48,Kesaria
205,Raxaul,Sugauli,Rajanish Kumar Pathak,Jan Adhikar Party (Loktantrik),7188,Runnisaidpur,7217,4.77,Kesaria
206,Sugauli,Narkatia,Ram Adhar Rai,Bahujan Nyay Dal,2020,0,2020,1.34,Kesaria
207,Narkatia,Harsidhi (S.C),Amrendra Kumar Verma,Independent,2554,Valmikinagar,2555,1.69,Kesaria
208,Harsidhi (S.C),Govindganj,Ravindra Kumar Berwar,Independent,3633,Ramnagar,3635,2.4,Kesaria
209,Govindganj,Kesaria,Dr. Rajesh Kumar,Independent,17658,Bihariganj,17729,11.72,Kesaria
210,Kesaria,Kalyanpur,Rajesh Yadav,Independent,1876,Valmikinagar,1877,1.24,Kesaria
211,Kalyanpur,Pipra,Varun Vijay,Independent,511,Valmikinagar,512,0.34,Kesaria
212,Pipra,Madhuban,NOTA,None of the Above,1483,0,1483,0.98,Kesaria
213,0,Valmikinagar,Manoj Kumar Yadav,Rashtriya Janata Dal,72236,583,72819,45.35,Kalyanpur
214,Valmikinagar,Ramnagar,Mohammad Badiuzzaman,Bahujan Samaj Party,6335,Benipatti,6367,3.97,Kalyanpur
215,Ramnagar,Narkatiaganj,Sachindra Prasad Singh,Bharatiya Janata Party,71384,Jhajha,71626,44.61,Kalyanpur
216,Narkatiaganj,Bagaha,Mala Thakur,Janta Dal Rashtravadi,1992,Govindganj,2006,1.25,Kalyanpur
217,Bagaha,Lauriya,Satyam Yadav,Jan Adhikar Party (Loktantrik),478,0,478,0.3,Kalyanpur
218,Lauriya,Nautan,Subodh Kumar Thakur,Bhartiya Vikash Dal United,430,0,430,0.27,Kalyanpur
219,Nautan,Chanpatia,Muneshwar Tiwari,Independent,523,Valmikinagar,524,0.33,Kalyanpur
220,Chanpatia,Bettiah,Rajesh Kumar Singh,Independent,1623,0,1623,1.01,Kalyanpur
221,Bettiah,Sikta,Rituraj Pandey,Independent,1790,Chanpatia,1797,1.12,Kalyanpur
222,Sikta,Raxaul,NOTA,None of the Above,2883,Bagaha,2887,1.8,Kalyanpur
223,0,Valmikinagar,RAJMANGAL PRASAD,Communist Party of India  (Marxist),79753,657,80410,40.1,Pipra
224,Valmikinagar,Ramnagar,SHYAMBABU PRASAD YADAV,Bharatiya Janata Party,88358,Bodh Gaya,88587,44.18,Pipra
225,Ramnagar,Narkatiaganj,SUBHASH SINGH KUSHWAHA,Rashtriya Lok Samta Party,3225,Madhuban,3243,1.62,Pipra
226,Narkatiaganj,Bagaha,ANKUSH KUMAR SINGH,Jan Adhikar Party (Loktantrik),1227,Nautan,1233,0.61,Pipra
227,Bagaha,Lauriya,ANIKET RANJAN,Rashtriya Jan Jan Party,2827,Parihar,2852,1.42,Pipra
228,Lauriya,Nautan,TUPTI KUMARI,Janta Dal Rashtravadi,687,Ramnagar,689,0.34,Pipra
229,Nautan,Chanpatia,RANI KUMARI,Swabhiman Party,572,0,572,0.29,Pipra
230,Chanpatia,Bettiah,RAMCHANDRA SAH,Rashtriya Jansambhavna Party,884,0,884,0.44,Pipra
231,Bettiah,Sikta,LALIT KUMAR SINGH,Bahujan Mukti Party,555,Ramnagar,557,0.28,Pipra
232,Sikta,Raxaul,AJAY KUMAR SHUKLA,Independent,552,Narkatiaganj,555,0.28,Pipra
233,Raxaul,Sugauli,AFZAL,Independent,667,Bagaha,671,0.33,Pipra
234,Sugauli,Narkatia,AWADHESH Pd KUSHWAHA,Independent,6901,Phulparas,6940,3.46,Pipra
235,Narkatia,Harsidhi (S.C),ASHOK KUMAR SUMAN,Independent,1085,0,1085,0.54,Pipra
236,Harsidhi (S.C),Govindganj,MD. MUMTAZ ALAM,Independent,2184,Valmikinagar,2185,1.09,Pipra
237,Govindganj,Kesaria,SHYAM NANDAN KUMAR,Independent,3693,Valmikinagar,3694,1.84,Pipra
238,Kesaria,Kalyanpur,NOTA,None of the Above,6339,Lauriya,6344,3.16,Pipra
239,0,Valmikinagar,Madan Prasad,Rashtriya Janata Dal,66831,470,67301,43.86,Madhuban
240,Valmikinagar,Ramnagar,Rana Randhir,Bharatiya Janata Party,72946,Atri,73179,47.69,Madhuban
241,Ramnagar,Narkatiaganj,Shiv Shankar Ray,Bahujan Samaj Party,1250,Valmikinagar,1251,0.82,Madhuban
242,Narkatiaganj,Bagaha,Aysa Khatoon,"Jan Sangharsh Dal,",376,Ramnagar,378,0.25,Madhuban
243,Bagaha,Lauriya,Jagdish Prasad,Bajjikanchal Vikas Party,340,0,340,0.22,Madhuban
244,Lauriya,Nautan,Rajesh Kumar Singh,Janta Dal Rashtravadi,416,Valmikinagar,417,0.27,Madhuban
245,Nautan,Chanpatia,Vikash Keshari,The Plurals Party,427,0,427,0.28,Madhuban
246,Chanpatia,Bettiah,Shivjee Ray,Jan Adhikar Party (Loktantrik),2078,Bagaha,2082,1.36,Madhuban
247,Bettiah,Sikta,Sanjay Tiwari,Bhartiya Aam Janta Vikas Party,416,0,416,0.27,Madhuban
248,Sikta,Raxaul,Dinesh Ram,Independent,384,0,384,0.25,Madhuban
249,Raxaul,Sugauli,Madan Singh Alias Madan Prasad,Independent,902,0,902,0.59,Madhuban
250,Sugauli,Narkatia,Shashi Ranjan Kumar,Independent,2639,0,2639,1.72,Madhuban
251,Narkatia,Harsidhi (S.C),NOTA,None of the Above,3731,Valmikinagar,3732,2.43,Madhuban
252,0,Valmikinagar,OM PRAKASH CHAUDHARY,Rashtriya Janata Dal,77361,727,78088,41.63,Motihari
253,Valmikinagar,Ramnagar,DEEPAK KUMAR KUSHWAHA,Rashtriya Lok Samta Party,3692,Bathnaha,3716,1.98,Motihari
254,Ramnagar,Narkatiaganj,PRAMOD KUMAR,Bharatiya Janata Party,92348,385,92733,49.44,Motihari
255,Narkatiaganj,Bagaha,ASHOK KUMAR,"Jan Sangharsh Dal,",1060,0,1060,0.57,Motihari
256,Bagaha,Lauriya,ASHWINI KUMAR GUPTA,Akhand Bhartiya Yuva Party,Karakat,0,Karakat,0.11,Motihari
257,Lauriya,Nautan,PANKAJ KUMAR SRIVASTAV,Jantantrik Vikas Party,Nokha,0,Nokha,0.11,Motihari
258,Nautan,Chanpatia,PRAKASH CHANDRA MANU,Rashtriya Jan Jan Party,363,Valmikinagar,364,0.19,Motihari
259,Chanpatia,Bettiah,PRABHU NANDAN PRASAD,Janata Party,669,Chanpatia,676,0.36,Motihari
260,Bettiah,Sikta,BAIJU KUMAR,Rashtra Sewa Dal,293,0,293,0.16,Motihari
261,Sikta,Raxaul,MUNNA KUMAR,The Plurals Party,651,Sugauli,662,0.35,Motihari
262,Raxaul,Sugauli,HARISHCHANDRA PANDIT,Vanchit Samaj Party,375,0,375,0.2,Motihari
263,Sugauli,Narkatia,ABHISHEK KUMAR SINGH,Independent,597,Ramnagar,599,0.32,Motihari
264,Narkatia,Harsidhi (S.C),ZALALUDDIN ROY,Independent,1846,Valmikinagar,1847,0.98,Motihari
265,Harsidhi (S.C),Govindganj,RAMESHVAR SAH,Independent,3255,Bettiah,3263,1.74,Motihari
266,Govindganj,Kesaria,NOTA,None of the Above,3436,Motihari,3455,1.84,Motihari
267,0,Valmikinagar,Achchhelal  Prasad,Rashtriya Janata Dal,45578,452,46030,27.53,Chiraiya
268,Valmikinagar,Ramnagar,Pawan Kumar Singh,National People's Party,649,0,649,0.39,Chiraiya
269,Ramnagar,Narkatiaganj,Madhurendra Kumar Singh,Rashtriya Lok Samta Party,4504,Govindganj,4518,2.7,Chiraiya
270,Narkatiaganj,Bagaha,Lal Babu Prasad Gupta,Bharatiya Janata Party,62794,Barharia,62904,37.62,Chiraiya
271,Bagaha,Lauriya,Abhinav Bharti,The Plurals Party,1416,Kalyanpur,1432,0.86,Chiraiya
272,Lauriya,Nautan,Usha Rani,"Bhartiya Garibmazdoor Party,",464,0,464,0.28,Chiraiya
273,Nautan,Chanpatia,Jalaluddin Ahamad,Rashtriya Jan-Jagran Morcha,262,0,262,0.16,Chiraiya
274,Chanpatia,Bettiah,Bhushan Shah,Fauji Kisan Party,695,Valmikinagar,696,0.42,Chiraiya
275,Bettiah,Sikta,Mohammad Firoj Ahmad,"Jan Sangharsh Dal,",664,Bagaha,668,0.4,Chiraiya
276,Sikta,Raxaul,Lalsa Devi,Jan Adhikar Party (Loktantrik),1066,Ramnagar,1068,0.64,Chiraiya
277,Raxaul,Sugauli,Vijay Singh,Janta Dal Rashtravadi,656,0,656,0.39,Chiraiya
278,Sugauli,Narkatia,Sanjay Kumar,Shiv Sena,785,Bagaha,789,0.47,Chiraiya
279,Narkatia,Harsidhi (S.C),Sudhir Kumar Singh,Bhartiya Aam Janta Vikas Party,1255,0,1255,0.75,Chiraiya
280,Harsidhi (S.C),Govindganj,Suresh Kumar,Lok Shakti Party (Loktantrik),570,0,570,0.34,Chiraiya
281,Govindganj,Kesaria,Akhileshwar Kumar,Independent,742,Narkatiaganj,745,0.45,Chiraiya
282,Kesaria,Kalyanpur,Avaneesh Kumar Singh,Independent,11398,Benipatti,11430,6.84,Chiraiya
283,Kalyanpur,Pipra,Prabhash Ranjan Urf Chandan,Independent,1917,Nautan,1923,1.15,Chiraiya
284,Pipra,Madhuban,Fahim Hussain,Independent,321,0,321,0.19,Chiraiya
285,Madhuban,Motihari,Raj Vanshi Mahato,Independent,987,0,987,0.59,Chiraiya
286,Motihari,Chiraiya,Radhakant sah,Independent,1355,0,1355,0.81,Chiraiya
287,Chiraiya,Dhaka,Laxmi Narayan Prasad Yadav,Independent,16283,Maharajganj,16395,9.81,Chiraiya
288,Dhaka,Sheohar,Sanjay Kumar,Independent,9227,Narpatganj,9273,5.55,Chiraiya
289,Sheohar,Riga,Sanjay Kumar Yadav,Independent,470,0,470,0.28,Chiraiya
290,Riga,Bathnaha,Hiralal Ray,Independent,804,Valmikinagar,805,0.48,Chiraiya
291,Bathnaha,Parihar,NOTA,None of the Above,1525,Valmikinagar,1526,0.91,Chiraiya
292,0,Valmikinagar,PAWAN KUMAR JAISWAL,Bharatiya Janata Party,99533,259,99792,48.01,Dhaka
293,Valmikinagar,Ramnagar,FAISAL RAHMAN,Rashtriya Janata Dal,89137,541,89678,43.15,Dhaka
294,Ramnagar,Narkatiaganj,RAM PUKAR SINHA,Rashtriya Lok Samta Party,10907,Parihar,10932,5.26,Dhaka
295,Narkatiaganj,Bagaha,ABHIJIT SINGH,Jan Adhikar Party (Loktantrik),965,Valmikinagar,966,0.46,Dhaka
296,Bagaha,Lauriya,DR. RAJAN JAISWAL,The Plurals Party,874,Valmikinagar,875,0.42,Dhaka
297,Lauriya,Nautan,RAMKRIT PASWAN,"Jan Sangharsh Dal,",250,0,250,0.12,Dhaka
298,Nautan,Chanpatia,MD. KASIM ANSARI,Independent,498,Valmikinagar,499,0.24,Dhaka
299,Chanpatia,Bettiah,CHANDRADIP KUMAR,Independent,570,0,570,0.27,Dhaka
300,Bettiah,Sikta,MD SALIM MANSURI,Independent,1313,0,1313,0.63,Dhaka
301,Sikta,Raxaul,NOTA,None of the Above,2959,Nautan,2965,1.43,Dhaka
302,0,Valmikinagar,CHETAN ANAND,Rashtriya Janata Dal,72818,325,73143,42.69,Sheohar
303,Valmikinagar,Ramnagar,VIJAY KUMAR PANDEY,Lok Jan Shakti Party,18704,Triveniganj,18748,10.94,Sheohar
304,Ramnagar,Narkatiaganj,MD. SHARFUDDIN,Janata Dal (United),36357,Barauli,36457,21.28,Sheohar
305,Narkatiaganj,Bagaha,SANJEEV KUMAR GUPTA,Bahujan Samaj Party,4040,Sikta,4049,2.36,Sheohar
306,Bagaha,Lauriya,AMRENDRA KUMAR,Bajjikanchal Vikas Party,1049,0,1049,0.61,Sheohar
307,Lauriya,Nautan,NATHUNI MAHTO,All India Forward Bloc,798,Narkatia,810,0.47,Sheohar
308,Nautan,Chanpatia,MOHAMAD MANTJIR ALAM,Rashtriya Secular Majlis Party,940,0,940,0.55,Sheohar
309,Chanpatia,Bettiah,MOHAMMED WAMIQUE,Jan Adhikar Party (Loktantrik),3396,Motihari,3415,1.99,Sheohar
310,Bettiah,Sikta,RANJEEV KUMAR JHA,The Plurals Party,1246,Ramnagar,1248,0.73,Sheohar
311,Sikta,Raxaul,SHRINARAYAN SINGH,Janta Dal Rashtravadi,3940,Narkatia,3952,2.31,Sheohar
312,Raxaul,Sugauli,SANJAY PRASAD,Rashtriya Jansambhavna Party,1171,Ramnagar,1173,0.68,Sheohar
313,Sugauli,Narkatia,ANGESH KUMAR,Independent,1489,0,1489,0.87,Sheohar
314,Narkatia,Harsidhi (S.C),RADHA KANT GUPTA,Independent,14157,Dhaka,14178,8.28,Sheohar
315,Harsidhi (S.C),Govindganj,VIRENDRA PRA. YADAV,Independent,4029,Valmikinagar,4030,2.35,Sheohar
316,Govindganj,Kesaria,Sanjay Sangharsh Singh,Independent,2930,Bagaha,2934,1.71,Sheohar
317,Kesaria,Kalyanpur,NOTA,None of the Above,3710,Valmikinagar,3711,2.17,Sheohar
318,0,Valmikinagar,AMIT KUMAR,Indian National Congress,62250,481,62731,34.96,Riga
319,Valmikinagar,Ramnagar,MUNNI SINGH,Bahujan Samaj Party,4242,Harsidhi (S.C),4255,2.37,Riga
320,Ramnagar,Narkatiaganj,MOTI LAL PRASAD,Bharatiya Janata Party,95101,Vaishali,95226,53.07,Riga
321,Narkatiaganj,Bagaha,RAMBABU SAH S/O-SHRI NATHUNI SAH,Nationalist Congress Party,1410,0,1410,0.79,Riga
322,Bagaha,Lauriya,AKHILESH KUMAR SUMAN,Samata Party,454,Valmikinagar,455,0.25,Riga
323,Lauriya,Nautan,UPENDRA SAHANI,Rashtriya Jansambhavna Party,618,0,618,0.34,Riga
324,Nautan,Chanpatia,GHUFRAN ASAD,"Jan Sangharsh Dal,",564,Valmikinagar,565,0.31,Riga
325,Chanpatia,Bettiah,BINDESHWAR SAH,Prabal Bharat Party,297,0,297,0.17,Riga
326,Bettiah,Sikta,BHARAT PATEL,Jai Maha Bharath Party,246,0,246,0.14,Riga
327,Sikta,Raxaul,MOHAN SINGH,Rashtriya Janshakti Party (Secular),702,Ramnagar,704,0.39,Riga
328,Raxaul,Sugauli,RAVI KUMAR,The Plurals Party,632,Ramnagar,634,0.35,Riga
329,Sugauli,Narkatia,RAVI SHANKAR PRASAD,Jan Adhikar Party (Loktantrik),623,0,623,0.35,Riga
330,Narkatia,Harsidhi (S.C),BINDESHWAR MAHTO,Republican Party of India (Athawale),630,0,630,0.35,Riga
331,Harsidhi (S.C),Govindganj,SAMSUDDIN ANSARI,Bahujan Mukti Party,2340,Narkatiaganj,2343,1.31,Riga
332,Govindganj,Kesaria,ABHISHEK RAJA,Independent,667,0,667,0.37,Riga
333,Kesaria,Kalyanpur,GIRDHARI SAH,Independent,2617,0,2617,1.46,Riga
334,Kalyanpur,Pipra,CHANDRIKA PRASAD,Independent,1574,0,1574,0.88,Riga
335,Pipra,Madhuban,DILIP KUMAR SHRIVASTAV,Independent,358,0,358,0.2,Riga
336,Madhuban,Motihari,DEVENDRA KUMAR SINHA,Independent,1582,Valmikinagar,1583,0.88,Riga
337,Motihari,Chiraiya,BRAHMDEV NAYAK,Independent,403,0,403,0.22,Riga
338,Chiraiya,Dhaka,MOTI LAL RAUT,Independent,449,0,449,0.25,Riga
339,Dhaka,Sheohar,"RAM BABU SAH, S/O- NEWALAL SAH",Independent,Rafiganj,0,Rafiganj,0.12,Riga
340,Sheohar,Riga,NOTA,None of the Above,830,Chanpatia,837,0.47,Riga
341,0,Valmikinagar,ANIL KUMAR,Bharatiya Janata Party,92426,Kutumba,92648,54.15,Bathnaha
342,Valmikinagar,Ramnagar,CHANDRIKA PASWAN,Rashtriya Lok Samta Party,15259,Katihar,15322,8.96,Bathnaha
343,Ramnagar,Narkatiaganj,SANJAY RAM,Indian National Congress,45290,540,45830,26.79,Bathnaha
344,Narkatiaganj,Bagaha,KUNKUN MANJHI,Peoples Party of India (Democratic),950,Narkatiaganj,953,0.56,Bathnaha
345,Bagaha,Lauriya,RAVI RANJAN PASWAN,Janata Party,462,Valmikinagar,463,0.27,Bathnaha
346,Lauriya,Nautan,RAJESH PASWAN,Rashtriya Jansambhavna Party,623,0,623,0.36,Bathnaha
347,Nautan,Chanpatia,VIJAY PASWAN,Kisan Party of India,469,0,469,0.27,Bathnaha
348,Chanpatia,Bettiah,SHANKAR KUMAR PASWAN,Rashtrawadi Janlok Party (Satya),459,Valmikinagar,460,0.27,Bathnaha
349,Bettiah,Sikta,SHIV MANGAL PASWAN,Bahujan Mukti Party,627,Ramnagar,629,0.37,Bathnaha
350,Sikta,Raxaul,ANITA DEVI,Independent,578,Ramnagar,580,0.34,Bathnaha
351,Raxaul,Sugauli,KUMAR PURUSHOTTAM,Independent,638,Valmikinagar,639,0.37,Bathnaha
352,Sugauli,Narkatia,RAMPHL SADA,Independent,1863,Ramnagar,1865,1.09,Bathnaha
353,Narkatia,Harsidhi (S.C),LALU DAS,Independent,2481,Valmikinagar,2482,1.45,Bathnaha
354,Harsidhi (S.C),Govindganj,VIJAY KUMAR BAITHA,Independent,2887,Narkatiaganj,2890,1.69,Bathnaha
355,Govindganj,Kesaria,NOTA,None of the Above,5238,Ramnagar,5240,3.06,Bathnaha
356,0,Valmikinagar,Amjad Hussain Anwar,Rashtriya Lok Samta Party,9947,Dhaka,9968,5.77,Parihar
357,Valmikinagar,Ramnagar,Gaytri Devi,Bharatiya Janata Party,73343,Mahishi,73420,42.52,Parihar
358,Ramnagar,Narkatiaganj,Ritu Kumar,Rashtriya Janata Dal,71614,Nawada,71851,41.61,Parihar
359,Narkatiaganj,Bagaha,Abdul Shalik,Janata Congress,1491,Valmikinagar,1492,0.86,Parihar
360,Bagaha,Lauriya,Chandan Kumar,Bhartiya Sablog Party,466,0,466,0.27,Parihar
361,Lauriya,Nautan,Nitish Kumar,Indian National League,346,0,346,0.2,Parihar
362,Nautan,Chanpatia,Mohammad,Janta Dal Rashtravadi,727,0,727,0.42,Parihar
363,Chanpatia,Bettiah,Sarita Yadav,Jan Adhikar Party (Loktantrik),4160,Bagaha,4164,2.41,Parihar
364,Bettiah,Sikta,Surendra Panjiyar,Rashtriya Jansambhavna Party,1360,0,1360,0.79,Parihar
365,Sikta,Raxaul,Ganesh Sah,Independent,748,0,748,0.43,Parihar
366,Raxaul,Sugauli,Chandrabhushan Kumar,Independent,951,0,951,0.55,Parihar
367,Sugauli,Narkatia,Jay Kumar,Independent,1993,0,1993,1.15,Parihar
