,osn,candidate,party,evm_votes,postal_votes,total_votes,percentage_votes,contituencty
2,3,Ritu Kumar,Rashtriya Janata Dal,71614,237,71851,41.61,25
3,4,Abdul Shalik,Janata Congress,1491,1,1492,0.86,25
4,5,Chandan Kumar,Bhartiya Sablog Party,466,0,466,0.27,25
5,6,Nitish Kumar,Indian National League,346,0,346,0.2,25
6,7,Mohammad,Janta Dal Rashtravadi,727,0,727,0.42,25
7,8,Sarita Yadav,Jan Adhikar Party (Loktantrik),4160,4,4164,2.41,25
8,9,Surendra Panjiyar,Rashtriya Jansambhavna Party,1360,0,1360,0.79,25
9,10,Ganesh Sah,Independent,748,0,748,0.43,25
10,11,Chandrabhushan Kumar,Independent,951,0,951,0.55,25
11,12,Jay Kumar,Independent,1993,0,1993,1.15,25
12,13,Bhushan Prasad,Independent,1587,0,1587,0.92,25
13,14,NOTA,None of the Above,3589,1,3590,2.08,25
0,1,AMIT CHOUDHARI,Lok Jan Shakti Party,20161,120,20281,11.66,26
1,2,DILIP RAY,Janata Dal (United),67105,88,67193,38.63,26
2,3,SAYED ABU DOJANA,Rashtriya Janata Dal,57863,454,58317,33.53,26
3,4,ANUPAM KUMARI,Rashtriya Jan Jan Party,1801,3,1804,1.04,26
4,5,UMESH RAY,Bahujan Mukti Party,561,0,561,0.32,26
5,6,KRISHNA KUMAR JHA,"Proutist Bloc, India",406,0,406,0.23,26
6,7,GOBIND THAKUR,Bhartiya Party (Loktantrik),2177,2,2179,1.25,26
7,8,NAVAL KISHORE RAUT,Samajwadi Janata Dal Democratic,2327,3,2330,1.34,26
8,9,FEKAN MANDAL,Voters Party  International,1193,0,1193,0.69,26
9,10,MD. FAISAL AHAMAD,Indian National League,544,1,545,0.31,26
10,11,BHOGENDRA KUMAR,"Kushal Janta Party,",703,0,703,0.4,26
11,12,MANOJ PURBEY,Republican Party of India,1984,0,1984,1.14,26
12,13,SUNIL KUMAR,"Bhartiya Garibmazdoor Party,",1029,0,1029,0.59,26
13,14,KAMESHWAR THAKUR,Independent,3952,1,3953,2.27,26
14,15,PAPPU KUMAR CHOUDHARY,Independent,6725,9,6734,3.87,26
15,16,SONIYA DEVI,Independent,3105,0,3105,1.79,26
16,17,NOTA,None of the Above,1609,4,1613,0.93,26
0,1,MD. INTAKHAB ALAM,Lok Jan Shakti Party,6158,25,6183,3.48,27
1,2,MUKESH KUMAR YADAV,Rashtriya Janata Dal,70983,500,71483,40.21,27
2,3,DR. RANJU GEETA,Janata Dal (United),68658,121,68779,38.69,27
3,4,REKHA KUMARI,Rashtriya Lok Samta Party,11232,35,11267,6.34,27
4,5,SHAKIL AHAMAD,Nationalist Congress Party,471,0,471,0.26,27
5,6,MD. ANISUR RAHAMAN,Jan Adhikar Party (Loktantrik),1205,0,1205,0.68,27
6,7,NARESH SAH,Kisan Party of India,313,0,313,0.18,27
7,8,PRABODH KUMAR SHARMA,"Log Jan Party - Secular,",619,1,620,0.35,27
8,9,BHOLA SAHNI,Hindu Samaj Party,429,0,429,0.24,27
9,10,MOSADRE ALAM KURAISHI,Rashtriya Secular Majlis Party,715,0,715,0.4,27
10,11,MOHAMMAD AFTAB,Bhartiya Sablog Party,953,0,953,0.54,27
11,12,MD. SHOAIB KHAN,Indian National League,649,1,650,0.37,27
12,13,SARVESH THAKUR,Nationalist Janshakti Party,1411,0,1411,0.79,27
13,14,SAIYAD NEYAZ AHAMAD,Rashtriya Ulama Council,3191,0,3191,1.79,27
14,15,MD. IFTEKHAR,Independent,2077,0,2077,1.17,27
15,16,DEVENDRA JHA,Independent,1908,0,1908,1.07,27
16,17,NAGENDRA MISHRA,Independent,1132,0,1132,0.64,27
17,18,MUKESH KUMAR YADAV,Independent,1332,0,1332,0.75,27
18,19,RAMNIHORA SAH,Independent,1627,2,1629,0.92,27
19,20,SUBODH SAH,Independent,588,0,588,0.33,27
20,21,NOTA,None of the Above,1440,1,1441,0.81,27
0,1,MITHILESH KUMAR,Bharatiya Janata Party,90039,197,90236,49.9,28
1,2,RAKESH KUMAR TUNNA,Bahujan Samaj Party,2028,7,2035,1.13,28
2,3,SUNIL KUMAR,Rashtriya Janata Dal,78093,668,78761,43.55,28
3,4,AFTAB ANJUM,Swaraj India,965,0,965,0.53,28
4,5,KUMAR ABHIMANYU SRIVASTAVA,Samata Party,422,3,425,0.24,28
5,6,MANOJ KUMAR,Janta Dal Rashtravadi,696,0,696,0.38,28
6,7,VINOD SAH,Rashtriya Jansambhavna Party,912,2,914,0.51,28
7,8,SHAILENDRA PRASAD YADAV,Bahujan Mukti Party,407,1,408,0.23,28
8,9,SRINIVAS KUMAR,Bhartiya Sablog Party,766,6,772,0.43,28
9,10,SITARAM SINGH,"Proutist Bloc, India",577,0,577,0.32,28
10,11,KRISHNA KISHORE,Independent,1371,0,1371,0.76,28
11,12,RAJU KUMAR,Independent,703,0,703,0.39,28
12,13,NOTA,None of the Above,2977,2,2979,1.65,28
0,1,GUDDI DEVI,Lok Jan Shakti Party,15110,86,15196,9.96,29
1,2,PANKAJ KUMAR MISHRA,Janata Dal (United),73037,168,73205,47.96,29
2,3,MANGITA DEVI,Rashtriya Janata Dal,48189,387,48576,31.83,29
3,4,BRAJESH MAHTO,Janvadi Party(Socialist),2610,1,2611,1.71,29
4,5,LAL BABU ROY,Jan Adhikar Party (Loktantrik),2956,4,2960,1.94,29
5,6,VINAY KUMAR,The Plurals Party,919,0,919,0.6,29
6,7,SHRAVAN SAHNI,Rashtriya Jansambhavna Party,1045,2,1047,0.69,29
7,8,SONE LAL SAH,Hindustan Sampoorna Azad Party,1518,0,1518,0.99,29
8,9,LUV YADAV,Independent,2281,1,2282,1.5,29
9,10,NOTA,None of the Above,4307,3,4310,2.82,29
0,1,THAKUR DHARMENDRA SINGH,Rashtriya Lok Samta Party,18999,0,18999,13.66,30
1,2,MD NASIR AHMAD,Lok Jan Shakti Party,10687,0,10687,7.68,30
2,3,SHAMIM ALAM,Nationalist Congress Party,829,0,829,0.6,30
3,4,SANJAY KUMAR GUPTA,Rashtriya Janata Dal,49682,0,49682,35.71,30
4,5,SUNITA SINGH CHAUHAN,Janata Dal (United),35997,0,35997,25.87,30
5,6,AMAR SINGH,Rashtrawadi Janlok Party (Satya),977,0,977,0.7,30
6,7,BALRAM KUMAR,Bhartiya Party (Loktantrik),2205,0,2205,1.58,30
7,8,RAKESH KUMAR SINGH,The Plurals Party,912,0,912,0.66,30
8,9,SHRI RAM RAY,Republican Party of India (Athawale),1104,0,1104,0.79,30
9,10,SUBODH KUMAR RAY,Jan Adhikar Party (Loktantrik),2487,0,2487,1.79,30
10,11,PAPPU SAH,Independent,1017,0,1017,0.73,30
11,12,MAHANT NARENDRA DAS MAHATYAGI,Independent,3266,0,3266,2.35,30
12,13,LALBABU SAH,Independent,3149,0,3149,2.26,30
13,14,VANDANA KUMARI,Independent,2094,0,2094,1.51,30
14,15,SURESH BAITHA,Independent,1504,0,1504,1.08,30
15,16,NOTA,None of the Above,4218,0,4218,3.03,30
0,1,RAM NARESH PANDEY,Communist Party of India,42390,410,42800,25.58,31
1,2,VIKASH KUMAR MISHRA,Lok Jan Shakti Party,6154,23,6177,3.69,31
2,3,SANTOSH KUMAR SINGH,Rashtriya Lok Samta Party,6789,18,6807,4.07,31
3,4,SUDHANSHU SHEKHAR,Janata Dal (United),60205,188,60393,36.1,31
4,5,DEVAN MUKHIYA,Sanyukt Vikas Party,1665,0,1665,1,31
5,6,NAGINA PRASAD MAHTO,Swabhiman Party,580,2,582,0.35,31
6,7,MOHAMMAD YUNUS,Bahujan Mukti Party,585,5,590,0.35,31
7,8,SANJIV KAMAT,Bhartiya Lokmat Rashtrwadi Party,529,0,529,0.32,31
8,9,SANTOSH KUMAR JHA,Jan Adhikar Party (Loktantrik),2953,7,2960,1.77,31
9,10,AJAY BHAGAT,Independent,1859,6,1865,1.11,31
10,11,ARCHANA DEVI,Independent,1843,11,1854,1.11,31
11,12,DINESH KUMAR YADAV,Independent,1076,1,1077,0.64,31
12,13,MANGESH JHA,Independent,3035,4,3039,1.82,31
13,14,MANDAKINI CHAUDHARY,Independent,2922,10,2932,1.75,31
14,15,MD. SHABBIR,Independent,27368,131,27499,16.44,31
15,16,SHRAVAN KUMAR YADAV,Independent,3695,3,3698,2.21,31
16,17,SATISH KUMAR,Independent,1591,0,1591,0.95,31
17,18,NOTA,None of the Above,1240,2,1242,0.74,31
0,1,NAGENDRA PRASAD YADAV,Bahujan Samaj Party,1852,5,1857,1.19,32
1,2,BHAWANA JHA,Indian National Congress,45819,391,46210,29.67,32
2,3,VINOD NARAYAN JHA,Bharatiya Janata Party,78723,139,78862,50.63,32
3,4,ANURADHA SINGH,The Plurals Party,1838,3,1841,1.18,32
4,5,NUTAN DEVI,Republican Party of India (Athawale),606,0,606,0.39,32
5,6,ABUBAKAR RAHMANI,Independent,752,0,752,0.48,32
6,7,AMAR NATH,Independent,521,1,522,0.34,32
7,8,CHANDAN KUMAR,Independent,566,3,569,0.37,32
8,9,NIRAJ KUMAR JHA,Independent,3864,14,3878,2.49,32
9,10,MITHILESH CHANDRA JHA,Independent,557,0,557,0.36,32
10,11,RAJESH KUMAR YADAV,Independent,9525,47,9572,6.14,32
11,12,RUPESH KUMAR,Independent,909,1,910,0.58,32
12,13,LALAN KISHOR JHA,Independent,2299,0,2299,1.48,32
13,14,VINOD SHANKAR JHA,Independent,3559,0,3559,2.28,32
14,15,VINODANAND KAMAT,Independent,2128,0,2128,1.37,32
15,16,NOTA,None of the Above,1647,1,1648,1.06,32
0,1,ARUN SHANKAR PRASAD,Bharatiya Janata Party,82870,291,83161,44.51,33
1,2,SITARAM YADAV,Rashtriya Janata Dal,59833,639,60472,32.37,33
2,3,KUMAR CHAITANY,The Plurals Party,1003,1,1004,0.54,33
3,4,CHANDRAKETU NARAYAN YADAV,Janta Dal Rashtravadi,661,0,661,0.35,33
4,5,DINESH PRASAD SINGH,Janshakti Vikas Party (Democratic),681,1,682,0.37,33
5,6,BABLU  GUPTA,Republican Party of India (Athawale),773,0,773,0.41,33
6,7,BRAJ KISHOR YADAV,Jan Adhikar Party (Loktantrik),13529,60,13589,7.27,33
7,8,RAJDEV DAS,Bhartiya Sablog Party,672,0,672,0.36,33
8,9,RAM KUMAR RAM,Bahujan Mukti Party,592,1,593,0.32,33
9,10,RAM SUFAL YADAV,Jan Mithila Vikas Party,1491,0,1491,0.8,33
10,11,RITESH KUMAR MANDAL,Prabal Bharat Party,759,0,759,0.41,33
11,12,VIRENDRA KUMAR YADAV,Samajwadi Janata Dal Democratic,2770,12,2782,1.49,33
12,13,SYED HASSANUL HAQUE,Aazad Samaj Party (Kanshi Ram),1294,4,1298,0.69,33
13,14,HARI BHUSHAN KUMAR,"Log Jan Party - Secular,",1010,2,1012,0.54,33
14,15,AMIT KUMAR MAHTO,Independent,2173,1,2174,1.16,33
15,16,AMBIKA PD SINGH,Independent,8314,41,8355,4.47,33
16,17,DILIP KUWAR,Independent,3682,7,3689,1.97,33
17,18,NARESH KUMAR SINGH,Independent,1184,4,1188,0.64,33
18,19,PURUSHOTTAM PRASAD GUPTA,Independent,383,0,383,0.2,33
19,20,PRAMILA DEVI,Independent,269,0,269,0.14,33
20,21,BRAJESH RAUT,Independent,273,0,273,0.15,33
21,22,RAMNARAYAN THAKUR,Independent,364,0,364,0.19,33
22,23,NOTA,None of the Above,1190,3,1193,0.64,33
0,1,AMAR NATH PRASAD,Lok Jan Shakti Party,9793,25,9818,5.13,34
1,2,UMAKANT YADAV,Rashtriya Janata Dal,65111,768,65879,34.39,34
2,3,MAHENDRA PRASAD SINGH,Rashtriya Lok Samta Party,11691,68,11759,6.14,34
3,4,MINA KUMARI,Janata Dal (United),77133,234,77367,40.39,34
4,5,ANIL KUMAR YADAV,Republican Party of India (Athawale),1634,0,1634,0.85,34
5,6,MANOJ JHA,Samata Party,2936,5,2941,1.54,34
6,7,RAJ KUMAR SINGH,Jan Adhikar Party (Loktantrik),1503,1,1504,0.79,34
7,8,RAMA SAHNI,Bhartiya Chetna Party,915,0,915,0.48,34
8,9,VIDYA SAGAR MANDAL,Jago Hindustan Party,1951,3,1954,1.02,34
9,10,VISHWANATH ROY,Bhartiya Rashtriya Dal,2242,0,2242,1.17,34
10,11,SHALINI KUMARI,The Plurals Party,3406,7,3413,1.78,34
11,12,SHIV NANDAN MANDAL,Voters Party  International,3653,0,3653,1.91,34
12,13,MAHA NARAYAN ROY,Independent,3490,2,3492,1.82,34
13,14,NOTA,None of the Above,4983,5,4988,2.6,34
0,1,TAUKIR,Nationalist Congress Party,1516,2,1518,0.85,35
1,2,Da. FAIYAZ AHMAD,Rashtriya Janata Dal,75829,504,76333,42.7,35
2,3,"HARIBHUSHAN THAKUR ""BACHOL""",Bharatiya Janata Party,86298,276,86574,48.43,35
3,4,ABADHESH KUMAR,Jantantrik Lokhit Party,1463,0,1463,0.82,35
4,5,MD AUSAF,Samajwadi Janata Dal Democratic,771,4,775,0.43,35
5,6,PUSHPAM PRIYA,The Plurals Party,1509,12,1521,0.85,35
6,7,ARVIND KUMAR MISHRA,Independent,263,0,263,0.15,35
7,8,ASHOK KUMAR ROY,Independent,351,0,351,0.2,35
8,9,INDRAJEET MAHTO,Independent,962,2,964,0.54,35
9,10,BHARAT PASWAN,Independent,613,4,617,0.35,35
10,11,MANISH KUMAR,Independent,876,2,878,0.49,35
11,12,MAHESHWAR PRASAD CHAUDHARY,Independent,2410,1,2411,1.35,35
12,13,RAJ KUMAR MUKHIYA,Independent,2172,0,2172,1.21,35
13,14,NOTA,None of the Above,2928,1,2929,1.64,35
0,1,ARVIND KUMAR PURBEY,Lok Jan Shakti Party,15775,43,15818,8.43,36
1,2,SAMIR KUMAR MAHASETH,Rashtriya Janata Dal,70727,605,71332,38,36
2,3,ANPURNA DEVI,Bhartiya Chetna Party,1728,10,1738,0.93,36
3,4,AMANULLAH KHAN,Samajwadi Janata Dal Democratic,7307,37,7344,3.91,36
4,5,DINESH MANDAL,Republican Party of India (Athawale),2057,0,2057,1.1,36
5,6,MADHU BALA GIRI,The Plurals Party,2791,13,2804,1.49,36
6,7,SHANKAR MAHASETH,Shiv Sena,1525,0,1525,0.81,36
7,8,SUMAN KUMAR MAHASETH,Vikassheel Insaan Party,64237,281,64518,34.37,36
8,9,ANITA KUMARI ALIAS ANITA JHA,Independent,1993,8,2001,1.07,36
9,10,MIHIR KUMAR JHA 'MAHADEO',Independent,4858,8,4866,2.59,36
10,11,MOHAMMAD NESAR AHMAD RAZVI,Independent,1305,3,1308,0.7,36
11,12,RAMDEO MAHTO,Independent,8214,33,8247,4.39,36
12,13,NOTA,None of the Above,4168,13,4181,2.23,36
0,1,Dr. Ramprit Paswan,Bharatiya Janata Party,89239,220,89459,51.42,37
1,2,Ramawatar Paswan,Rashtriya Janata Dal,69851,487,70338,40.43,37
2,3,Arun Kumar Mandal,Jago Hindustan Party,1596,4,1600,0.92,37
3,4,Gopal Choupal,Bhartiya Chetna Party,687,1,688,0.4,37
4,5,Channe Saday,Janhit Kisan Party,599,0,599,0.34,37
5,6,Raja Ram Chaupal,Voters Party  International,1612,0,1612,0.93,37
6,7,Shiv Shankar Paswan,Samajwadi Janata Dal Democratic,721,5,726,0.42,37
7,8,Santosh Kumar Suman,The Plurals Party,1261,6,1267,0.73,37
8,9,Jay Bansh Kumar Ram,Independent,1368,0,1368,0.79,37
9,10,Rakesh Kumar,Independent,2017,0,2017,1.16,37
10,11,NOTA,None of the Above,4296,7,4303,2.47,37
0,1,NITISH MISHRA,Bharatiya Janata Party,94641,213,94854,52.47,38
1,2,BIRENDRA KUMAR CHOUDHARY,Rashtriya Lok Samta Party,3246,16,3262,1.8,38
2,3,RAM NARAYAN YADAV,Communist Party of India,52780,286,53066,29.36,38
3,4,OM PRAKASH PODDAR,Janmat Party,1200,0,1200,0.66,38
4,5,RAJ KUMAR SADAY,Bahujan Mukti Party,629,3,632,0.35,38
5,6,RAM SHANKAR RAUT,Satya Bahumat Party,256,0,256,0.14,38
6,7,RAMCHANDRA RAY,Janhit Kisan Party,399,0,399,0.22,38
7,8,BAIDEHI KANTA SHARAN,Akhil Bhartiya Mithila Party,746,1,747,0.41,38
8,9,SANJEEV KUMAR SUMAN,The Plurals Party,600,0,600,0.33,38
9,10,SADANAND SUMAN,Jan Adhikar Party (Loktantrik),840,2,842,0.47,38
10,11,ABDUL IRFAN,Independent,376,1,377,0.21,38
11,12,ABHAY KANT MISHRA,Independent,1374,1,1375,0.76,38
12,13,GANGA PRASAD GANGOTRI,Independent,8642,16,8658,4.79,38
13,14,GANPATI JHA,Independent,2670,1,2671,1.48,38
14,15,BANDANA DEVI,Independent,1255,0,1255,0.69,38
15,16,MADAN KUMAR MAHTO,Independent,5683,0,5683,3.14,38
16,17,RAKESH KUMAR YADAV,Independent,2784,4,2788,1.54,38
17,18,LAKSHMAN PRASAD YADAV,Independent,600,1,601,0.33,38
18,19,NOTA,None of the Above,1493,3,1496,0.83,38
0,1,KRIPANATH PATHAK,Indian National Congress,63721,429,64150,35.24,39
1,2,BINOD KUMAR SINGH,Lok Jan Shakti Party,10057,31,10088,5.54,39
2,3,SHEELA KUMARI,Janata Dal (United),74919,197,75116,41.26,39
3,4,ASHOK SINGH,Nationalist Janshakti Party,1556,0,1556,0.85,39
4,5,GANESH YADAV,Voters Party  International,680,2,682,0.37,39
5,6,GAURI SHANKAR YADAV,Jan Adhikar Party (Loktantrik),4903,13,4916,2.7,39
6,7,PARWEZ ALAM,Peace Party,1504,0,1504,0.83,39
7,8,BRAJESH KUMAR KUNWAR,The Plurals Party,1275,3,1278,0.7,39
8,9,RATNESH KUMAR SAHU,Peoples Party of India (Democratic),964,3,967,0.53,39
9,10,RAM KUMAR YADAV,Samajwadi Janata Dal Democratic,2820,11,2831,1.56,39
10,11,GULAJAR DEVI,Independent,4920,19,4939,2.71,39
11,12,SHRIMATI REKHA RANJAN YADAV,Independent,964,0,964,0.53,39
12,13,VIJAY KUMAR,Independent,2616,1,2617,1.44,39
13,14,SANJAY KUMAR SINGH URF SAHIL KUMAR SINGH,Independent,4448,0,4448,2.44,39
14,15,HRIDAY NARAYAN KAMAT,Independent,2104,1,2105,1.16,39
15,16,NOTA,None of the Above,3888,6,3894,2.14,39
0,1,PRAMOD KUMAR PRIYEDARSHI,Lok Jan Shakti Party,30393,101,30494,14.59,40
1,2,BHARAT BHUSHAN MANDAL,Rashtriya Janata Dal,77759,764,78523,37.57,40
2,3,LAKSHMESHWAR RAY,Janata Dal (United),68288,158,68446,32.75,40
3,4,ALOK KUMAR YADAV,Samajwadi Janata Dal Democratic,4916,14,4930,2.36,40
4,5,INDU DEVI,Rashtriya Janwadi Party (Socialist),782,0,782,0.37,40
5,6,KUMARI MALVIKA,Bhartiya Chetna Party,810,0,810,0.39,40
6,7,DEVA SHANKAR ARYA,Bhartiya Lokmat Rashtrwadi Party,423,0,423,0.2,40
7,8,BHOLA PASWAN,"Proutist Bloc, India",1666,1,1667,0.8,40
8,9,RANJEET KUMAR YADAV,Satya Bahumat Party,848,0,848,0.41,40
9,10,RAM KUMAR MANDAL,Voters Party  International,954,1,955,0.46,40
10,11,LALIT KUMAR MAHTO,Jan Adhikar Party (Loktantrik),2457,3,2460,1.18,40
11,12,LALIT MANDAL,Jago Hindustan Party,1352,2,1354,0.65,40
12,13,INDRADEV JEE,Independent,1806,0,1806,0.86,40
13,14,DINESH GUPTA,Independent,6310,9,6319,3.02,40
14,15,BALESHWAR GURMAITA,Independent,4702,1,4703,2.25,40
15,16,NOTA,None of the Above,4484,2,4486,2.15,40
0,1,ANIRUDDHA PRASAD YADAV,Janata Dal (United),92250,189,92439,49.33,41
1,2,ARJUN PRASAD MEHTA,Rashtriya Lok Samta Party,12661,64,12725,6.79,41
2,3,GAUTAM KUMAR,Lok Jan Shakti Party,6313,32,6345,3.39,41
3,4,YADUBANSH KUMAR YADAV,Rashtriya Janata Dal,48055,462,48517,25.89,41
4,5,SHAMBHU CHOUDHARY,Nationalist Congress Party,932,1,933,0.5,41
5,6,KRISHNAAVATAR SINGH,Bhartiya Chetna Party,770,2,772,0.41,41
6,7,GOSAI MANDAL,Jantantrik Vikas Party,590,1,591,0.32,41
7,8,DHIRAJ KUMAR,The Plurals Party,1150,3,1153,0.62,41
8,9,PAPPU YADAV,Proutist Sarva Samaj,689,5,694,0.37,41
9,10,RAVINDRA PRASAD SAH,Rashtriya Secular Majlis Party,986,2,988,0.53,41
10,11,RAMDEV SHARMA,Peoples Party of India (Democratic),972,0,972,0.52,41
11,12,VIJAY KUMAR YADAV,Jan Adhikar Party (Loktantrik),8843,43,8886,4.74,41
12,13,AMAN KUMAR SAMAJSEVI,Independent,3175,0,3175,1.69,41
13,14,GYANSHANKER CHOUDHARY,Independent,2030,1,2031,1.08,41
14,15,MANOJ KUMAR,Independent,2392,0,2392,1.28,41
15,16,NOTA,None of the Above,4779,2,4781,2.55,41
0,1,OM PRAKASH ROY,Nationalist Congress Party,1924,3,1927,1.06,42
1,2,RAMBILASH KAMAT,Janata Dal (United),82267,121,82388,45.35,42
2,3,VISHWA MOHAN KUMAR,Rashtriya Janata Dal,62551,592,63143,34.76,42
3,4,SHAKUNTALA PRASAD,Lok Jan Shakti Party,5644,16,5660,3.12,42
4,5,AMLESH KUMAR JHA,All India Forward Bloc,772,2,774,0.43,42
5,6,ARJUN SHARMA,Republican Party of India (Rashtriya),661,2,663,0.36,42
6,7,ASIF KAMAL,Rashtrawadi Minority Party,1096,2,1098,0.6,42
7,8,GAUTAM KUMAR,Janta Dal Rashtravadi,1180,2,1182,0.65,42
8,9,Manoj Kumar Mandal,Prabal Bharat Party,1338,1,1339,0.74,42
9,10,MAHAN KUMAR,Sanyukt Kisan Vikas Party,1043,2,1045,0.58,42
10,11,MAHENDRA SAH,Jan Adhikar Party (Loktantrik),3751,19,3770,2.08,42
11,12,RANJIT KUMAR PASWAN,Samata Party,739,2,741,0.41,42
12,13,RANJEET PASWAN,Bharat Nirman Party,1924,3,1927,1.06,42
13,14,RAJU KUMAR,Proutist Sarva Samaj,3562,1,3563,1.96,42
14,15,RAJESH KUMAR,The Plurals Party,2922,1,2923,1.61,42
15,16,AMIT KUMAR SINGH,Independent,2507,1,2508,1.38,42
16,17,CHANDRA KISHOR YADAV,Independent,1333,1,1334,0.73,42
17,18,MAHENDRA PRASAD CHOUDHARY,Independent,3055,0,3055,1.68,42
18,19,NOTA,None of the Above,2631,2,2633,1.45,42
0,1,PRABHASH CHANDRA MANDAL,Lok Jan Shakti Party,8467,48,8515,4.96,43
1,2,BIJENDRA PRASAD YADAV,Janata Dal (United),85921,253,86174,50.2,43
2,3,MINNATULLAH RAHMANI,Indian National Congress,57675,400,58075,33.83,43
3,4,UPENDRA SHARMA,Jantantrik Vikas Party,1476,1,1477,0.86,43
4,5,PANKAJ KUMAR MANDAL,Peoples Party of India (Democratic),799,3,802,0.47,43
5,6,BHOGI MANDAL,Rashtravadi Janata Party,727,1,728,0.42,43
6,7,MRITUNJAY KUMAR,Janata Dal  (Secular),1168,1,1169,0.68,43
7,8,RAJESH KUMAR,Voters Party  International,982,1,983,0.57,43
8,9,SHIV NATH PRASAD GUPTA,Rashtriya Samaj Dal (R),1190,3,1193,0.7,43
9,10,Suresh Kumar Azad,Jai Hind Party,2616,0,2616,1.52,43
10,11,ANIL KUMAR SINGH,Independent,5724,12,5736,3.34,43
11,12,NOTA,None of the Above,4179,1,4180,2.44,43
0,1,RENU LATA BHARTI,Lok Jan Shakti Party,5178,16,5194,2.93,44
1,2,VEENA BHARTI,Janata Dal (United),79262,196,79458,44.84,44
2,3,SANTOSH KUMAR,Rashtriya Janata Dal,75860,567,76427,43.13,44
3,4,JAY PRAKASH PASWAN,Jantantrik Vikas Party,1571,0,1571,0.89,44
4,5,JITENDRA RAM,Republican Party of India (Rashtriya),883,3,886,0.5,44
5,6,RANJAN KUMAR SARDAR,Jai Maha Bharath Party,2625,4,2629,1.48,44
6,7,RABINDRA KUMAR CHAUPAL,Vanchit Bahujan Aaghadi,3001,1,3002,1.69,44
7,8,SHANKAR KUMAR SUMAN,Lokpriya Samaj Party,2370,2,2372,1.34,44
8,9,SIKENDRA PASWAN,Mazdoor Kirayedar Vikas Party,2120,3,2123,1.2,44
9,10,NOTA,None of the Above,3544,2,3546,2,44
0,1,NEERAJ KUMAR SINGH,Bharatiya Janata Party,93570,185,93755,46.39,45
1,2,MOHAMMAD MATIN ANSARI,Bahujan Samaj Party,1755,6,1761,0.87,45
2,3,DR. RANJEET KUMAR JHA,Nationalist Congress Party,948,3,951,0.47,45
3,4,VIPIN KUMAR SINGH,Rashtriya Janata Dal,72712,408,73120,36.18,45
4,5,ALAM,All India Majlis-E-Ittehadul Muslimeen,1984,6,1990,0.98,45
5,6,BHASKAR KUMAR MISHRA,The Plurals Party,435,0,435,0.22,45
6,7,MANOJ KUMAR MANDAL,Jantantrik Vikas Party,432,1,433,0.21,45
7,8,MD. MUSTAK,Bhartiya Jantantrik Janata Dal,362,0,362,0.18,45
8,9,MOHAMMAD ISA SYED,All India Minorities Front,462,0,462,0.23,45
9,10,SANJEEV MISHRA,Jan Adhikar Party (Loktantrik),3653,6,3659,1.81,45
10,11,ARUN KUMAR AZAD,Independent,3515,11,3526,1.74,45
11,12,KRISHNA MOHAN YADAV,Independent,924,2,926,0.46,45
12,13,DAYANAND MISHRA,Independent,2088,0,2088,1.03,45
13,14,DEEPAK KUMAR MISHRA,Independent,1467,2,1469,0.73,45
14,15,DURGANAND SINGH,Independent,1465,4,1469,0.73,45
15,16,DEO NARAYAN SADA,Independent,4274,0,4274,2.11,45
16,17,NASIBLAL SADA,Independent,3287,0,3287,1.63,45
17,18,NIRANJAN PRASAD GUPTA,Independent,1715,0,1715,0.85,45
18,19,BABAN SINGH,Independent,2513,18,2531,1.25,45
19,20,BHOLA PASWAN,Independent,1657,2,1659,0.82,45
20,21,MEHBOOB ALAM,Independent,535,0,535,0.26,45
21,22,VIPIN KUMAR YADAV,Independent,459,3,462,0.23,45
22,23,NOTA,None of the Above,1214,5,1219,0.6,45
0,1,ANIL KUMAR YADAV,Rashtriya Janata Dal,69679,108,69787,34.79,46
1,2,CHANDRESH KUMAR,Nationalist Congress Party,1677,1,1678,0.84,46
2,3,JAI PRAKASH YADAV,Bharatiya Janata Party,98360,37,98397,49.06,46
3,4,ANANT KUMAR RAY,Bahujan Mukti Party,1948,2,1950,0.97,46
4,5,GUNJA DEVI,Shiv Sena,544,0,544,0.27,46
5,6,NISHANT KR JHA,The Plurals Party,511,0,511,0.25,46
6,7,PAPPU KUMAR SINGH,Rashtrawadi Janlok Party (Satya),379,0,379,0.19,46
7,8,PRINCE VICTOR,Jan Adhikar Party (Loktantrik),3992,1,3993,1.99,46
8,9,MD. MUKHTAR ALAM,Bhartiya Jantantrik Janata Dal,457,0,457,0.23,46
9,10,MOHAMMAD ABUBAKAR,All India Minorities Front,340,0,340,0.17,46
10,11,RAJ KUMAR RISHIDEV,Apna Adhikar Party,522,3,525,0.26,46
11,12,LOCHAN KAMET,Bhartiya Lokmat Rashtrwadi Party,481,0,481,0.24,46
12,13,SADHAN KUMAR YADAV,Janshakti Vikas Party (Democratic),932,0,932,0.46,46
13,14,HADIS,All India Majlis-E-Ittehadul Muslimeen,5493,2,5495,2.74,46
14,15,HARUN,Janta Dal Rashtravadi,2863,0,2863,1.43,46
15,16,AKHILESH KUMAR,Independent,4891,0,4891,2.44,46
16,17,ALOK KUMAR,Independent,2774,0,2774,1.38,46
17,18,NAND LAL PASWAN,Independent,817,0,817,0.41,46
18,19,PRASENJEET KRISHNA,Independent,2287,1,2288,1.14,46
19,20,SHASHI BHUSHAN YADAV,Independent,598,0,598,0.3,46
